# magnetic superspace group                           ({Mxc1,Mxs1},{Myc1,Mys1},{Mzc1,Mzs1};{Mxc2,Mxs2},{Myc2,Mys2},{Mzc2,Mzs2})
147.2.80.3.m15.1    P-3' (a,b,0)0(-a-b,a,0)0         ({  0 ,  A },{  0 ,  B },{  0 ,  C };  {  0 , -B },{  0 , A-B},{  0 ,  C };  {  0 ,-A+B},{  0 , -A },{  0 ,  C })
168.2.80.1.m109.1    P6.1(a,b,0)0(-a-b,a,0)0         ({  0 ,  A },{  0 ,  B },{  C ,  0 };  {  0 , -B },{  0 , A-B},{  C ,  0 };  {  0 ,-A+B},{  0 , -A },{  C ,  0 })
168.2.80.1.m111.1     P6'(a,b,0)0(-a-b,a,0)0         ({  A ,  0 },{  B ,  0 },{  0 ,  C };  { -B ,  0 },{ A-B,  0 },{  0 ,  C };  {-A+B,  0 },{ -A ,  0 },{  0 ,  C })
174.2.80.1.m133.1   P-6.1(a,b,0)0(-a-b,a,0)0         ({  0 ,  0 },{  0 ,  0 },{  A ,  B };  {  0 ,  0 },{  0 ,  0 },{  A ,  B };  {  0 ,  0 },{  0 ,  0 },{  A ,  B })  
174.2.80.1.m135.1    P-6'(a,b,0)0(-a-b,a,0)0         ({  A ,  B },{  C ,  D },{  0 ,  0 };  { -C , -D },{ A-C, B-D},{  0 ,  0 };  {-A+C,-B+D},{ -A , -B },{  0 ,  0 })  
175.2.80.1.m137.1  P6/m.1(a,b,0)00(-a-b,a,0)00       ({  0 ,  0 },{  0 ,  0 },{  A ,  0 };  {  0 ,  0 },{  0 ,  0 },{  A ,  0 };  {  0 ,  0 },{  0 ,  0 },{  A ,  0 })  
175.2.80.1.m139.1   P6'/m(a,b,0)00(-a-b,a,0)00       ({  0 ,  0 },{  0 ,  0 },{  0 ,  A };  {  0 ,  0 },{  0 ,  0 },{  0 ,  A };  {  0 ,  0 },{  0 ,  0 },{  0 ,  A })  
175.2.80.1.m140.1   P6/m'(a,b,0)00(-a-b,a,0)00       ({  0 ,  A },{  0 ,  B },{  0 ,  0 };  {  0 , -B },{  0 , A-B},{  0 ,  0 };  {  0 ,-A+B},{  0 , -A },{  0 ,  0 })  
175.2.80.1.m141.1  P6'/m'(a,b,0)00(-a-b,a,0)00       ({  A ,  0 },{  B ,  0 },{  0 ,  0 };  { -B ,  0 },{ A-B,  0 },{  0 ,  0 };  {-A+B,  0 },{ -A ,  0 },{  0 ,  0 })  


# for (alpha, 0, 0)(-alpha, alpha, 0):
# magnetic superspace group                            ({Mxc1,Mxs1},{ Myc1, Mys1},{Mzc1,Mzs1};  {  Mxc2,  Mxs2},{ Myc2, Mys2},{Mzc2,Mzs2};  {  Mxc3,  Mxs3},{Myc3,Mys3},{Mzc3,Mzs3})

149.2.82.6.m21.1   P312.1(a,0,0)000(-a,a,0)000       ({  A ,  B },{0.5*A,0.5*B},{  0 ,  0 };  {-0.5*A,-0.5*B},{0.5*A,0.5*B},{  0 ,  0 };  {-0.5*A,-0.5*B},{ -A , -B },{  0 ,  0 })  
149.2.82.6.m23.1   P312' (a,0,0)000(-a,a,0)000       ({  0 ,  0 },{  A  ,  B  },{  C ,  D };  {  -A  ,  -B  },{  -A ,  -B },{  C ,  D };  {   A  ,   B  },{  0 ,  0 },{  C ,  D })
150.2.82.4.m25.1   P321.1(a,0,0)000(-a,a,0)000       ({  0 ,  A },{  B  ,0.5*A},{  0 ,  C };  {  -B  ,-0.5*A},{  -B ,0.5*A},{  0 ,  C };  {   B  ,-0.5*A},{  0 , -A },{  0 ,  C })
150.2.82.4.m27.1   P32'1 (a,0,0)000(-a,a,0)000       ({  A ,  0 },{0.5*A,  B  },{  C ,  0 };  {-0.5*A,  -B  },{0.5*A,  -B },{  C ,  0 };  {-0.5*A,   B  },{ -A ,  0 },{  C ,  0 })
156.2.82.4.m49.1   P3m1.1(a,0,0)000(-a,a,0)000       ({  0 ,  0 },{  A  ,  B  },{  0 ,  0 };  {  -A  ,  -B  },{  -A ,  -B },{  0 ,  0 };  {   A  ,   B  },{  0 ,  0 },{  0 ,  0 })  
156.2.82.4.m51.1   P3m'1 (a,0,0)000(-a,a,0)000       ({  A ,  B },{0.5*A,0.5*B},{  C ,  D };  {-0.5*A,-0.5*B},{0.5*A,0.5*B},{  C ,  D };  {-0.5*A,-0.5*B},{ -A , -B },{  C ,  D })
157.2.82.6.m53.1   P31m.1(a,0,0)000(-a,a,0)000       ({  A ,  0 },{0.5*A,  B  },{  0 ,  C };  {-0.5*A,  -B  },{0.5*A,  -B },{  0 ,  C };  {-0.5*A,   B  },{ -A ,  0 },{  0 ,  C })
157.2.82.6.m55.1   P31m' (a,0,0)000(-a,a,0)000       ({  0 ,  A },{  B  ,0.5*A},{  C ,  0 };  {  -B  ,-0.5*A},{  -B ,0.5*A},{  C ,  0 };  {   B  ,-0.5*A},{  0 , -A },{  C ,  0 })
162.2.82.6.m73.1   P-31m.1(a,0,0)000(-a,a,0)000      ({  A ,  0 },{0.5*A,  0  },{  0 ,  0 };  {-0.5*A,   0  },{0.5*A,   0 },{  0 ,  0 };  {-0.5*A,   0  },{ -A ,  0 },{  0 ,  0 })  
162.2.82.6.m75.1   P-3'1m(a,0,0)000(-a,a,0)000       ({  0 ,  0 },{  0  ,  A  },{  0 ,  B };  {   0  ,  -A  },{   0 ,  -A },{  0 ,  B };  {   0  ,   A  },{  0 ,  0 },{  0 ,  B })
162.2.82.6.m76.1   P-3'1m'(a,0,0)000(-a,a,0)000      ({  0 ,  A },{  0  ,0.5*A},{  0 ,  0 };  {   0  ,-0.5*A},{   0 ,0.5*A},{  0 ,  0 };  {   0  ,-0.5*A},{  0 , -A },{  0 ,  0 })  
162.2.82.6.m77.1   P-31m'(a,0,0)000(-a,a,0)000       ({  0 ,  0 },{  A  ,  0  },{  B ,  0 };  {  -A  ,   0  },{  -A ,   0 },{  B ,  0 };  {   A  ,   0  },{  0 ,  0 },{  B ,  0 })
177.2.82.5.m149.1  P622.1(a,0,0)000(-a,a,0)000       ({  0 ,  A },{  0  ,0.5*A},{  0 ,  0 };  {   0  ,-0.5*A},{   0 ,0.5*A},{  0 ,  0 };  {   0  ,-0.5*A},{  0 , -A },{  0 ,  0 })  
177.2.82.5.m151.1  P6'2'2(a,0,0)000(-a,a,0)000       ({  A ,  0 },{0.5*A,  0  },{  0 ,  0 };  {-0.5*A,   0  },{0.5*A,   0 },{  0 ,  0 };  {-0.5*A,   0  },{ -A ,  0 },{  0 ,  0 })  
177.2.82.5.m152.1  P6'22'(a,0,0)000(-a,a,0)000       ({  0 ,  0 },{  A  ,  0  },{  0 ,  B };  {  -A  ,   0  },{  -A ,   0 },{  0 ,  B };  {   A  ,   0  },{  0 ,  0 },{  0 ,  B })
177.2.82.5.m153.1  P62'2'(a,0,0)000(-a,a,0)000       ({  0 ,  0 },{  0  ,  A  },{  B ,  0 };  {   0  ,  -A  },{   0 ,  -A },{  B ,  0 };  {   0  ,   A  },{  0 ,  0 },{  B ,  0 })
183.2.82.6.m185.1  P6mm.1(a,0,0)000(-a,a,0)000       ({  0 ,  0 },{  0  ,  A  },{  0 ,  0 };  {   0  ,  -A  },{   0 ,  -A },{  0 ,  0 };  {   0  ,   A  },{  0 ,  0 },{  0 ,  0 })  
183.2.82.6.m187.1  P6'm'm(a,0,0)000(-a,a,0)000       ({  A ,  0 },{0.5*A,  0  },{  0 ,  B };  {-0.5*A,   0  },{0.5*A,   0 },{  0 ,  B };  {-0.5*A,   0  },{ -A ,  0 },{  0 ,  B })
183.2.82.6.m188.1  P6'mm'(a,0,0)000(-a,a,0)000       ({  0 ,  0 },{  A  ,  0  },{  0 ,  0 };  {  -A  ,   0  },{  -A ,   0 },{  0 ,  0 };  {   A  ,   0  },{  0 ,  0 },{  0 ,  0 })  
183.2.82.6.m189.1  P6m'm'(a,0,0)000(-a,a,0)000       ({  0 ,  A },{  0  ,0.5*A},{  B ,  0 };  {   0  ,-0.5*A},{   0 ,0.5*A},{  B ,  0 };  {   0  ,-0.5*A},{  0 , -A },{  B ,  0 })
187.2.82.3.m209.1  P-6m2.1(a,0,0)000(-a,a,0)000      ({  0 ,  0 },{  0  ,  0  },{  0 ,  0 };  {   0  ,   0  },{   0 ,   0 },{  0 ,  0 };  {   0  ,   0  },{  0 ,  0 },{  0 ,  0 })  
187.2.82.3.m211.1  P-6'm'2(a,0,0)000(-a,a,0)000      ({  A ,  B },{0.5*A,0.5*B},{  0 ,  0 };  {-0.5*A,-0.5*B},{0.5*A,0.5*B},{  0 ,  0 };  {-0.5*A,-0.5*B},{ -A , -B },{  0 ,  0 })  
187.2.82.3.m212.1  P-6'm2'(a,0,0)000(-a,a,0)000      ({  0 ,  0 },{  A  ,  B  },{  0 ,  0 };  {  -A  ,  -B  },{  -A ,  -B },{  0 ,  0 };  {   A  ,   B  },{  0 ,  0 },{  0 ,  0 })  
187.2.82.3.m213.1  P-6m'2'(a,0,0)000(-a,a,0)000      ({  0 ,  0 },{  0  ,  0  },{  A ,  B };  {   0  ,   0  },{   0 ,   0 },{  A ,  B };  {   0  ,   0  },{  0 ,  0 },{  A ,  B })  
189.2.82.3.m221.1  P-62m.1(a,0,0)000(-a,a,0)000      ({  0 ,  0 },{  0  ,  0  },{  0 ,  A };  {   0  ,   0  },{   0 ,   0 },{  0 ,  A };  {   0  ,   0  },{  0 ,  0 },{  0 ,  A })  
189.2.82.3.m223.1  P-6'2'm(a,0,0)000(-a,a,0)000      ({  A ,  0 },{0.5*A,  B  },{  0 ,  0 };  {-0.5*A,  -B  },{0.5*A,  -B },{  0 ,  0 };  {-0.5*A,   B  },{ -A ,  0 },{  0 ,  0 })  
189.2.82.3.m224.1  P-6'2m'(a,0,0)000(-a,a,0)000      ({  0 ,  A },{  B  ,0.5*A},{  0 ,  0 };  {  -B  ,-0.5*A},{  -B ,0.5*A},{  0 ,  0 };  {   B  ,-0.5*A},{  0 , -A },{  0 ,  0 })  
189.2.82.3.m225.1  P-62'm'(a,0,0)000(-a,a,0)000      ({  0 ,  0 },{  0  ,  0  },{  A ,  0 };  {   0  ,   0  },{   0 ,   0 },{  A ,  0 };  {   0  ,   0  },{  0 ,  0 },{  A ,  0 })  
191.2.82.6.m233.1  P6/mmm.1(a,0,0)0000(-a,a,0)0000   ({  0 ,  0 },{  0  ,  0  },{  0 ,  0 };  {   0  ,   0  },{   0 ,   0 },{  0 ,  0 };  {   0  ,   0  },{  0 ,  0 },{  0 ,  0 })  
191.2.82.6.m235.1  P6/m'mm(a,0,0)0000(-a,a,0)0000    ({  0 ,  0 },{  0  ,  A  },{  0 ,  0 };  {   0  ,  -A  },{   0 ,  -A },{  0 ,  0 };  {   0  ,   A  },{  0 ,  0 },{  0 ,  0 })  
191.2.82.6.m236.1  P6'/mm'm(a,0,0)0000(-a,a,0)0000   ({  0 ,  0 },{  0  ,  0  },{  0 ,  A };  {   0  ,   0  },{   0 ,   0 },{  0 ,  A };  {   0  ,   0  },{  0 ,  0 },{  0 ,  A })  
191.2.82.6.m237.1  P6'/mmm'(a,0,0)0000(-a,a,0)0000   ({  0 ,  0 },{  0  ,  0  },{  0 ,  0 };  {   0  ,   0  },{   0 ,   0 },{  0 ,  0 };  {   0  ,   0  },{  0 ,  0 },{  0 ,  0 })  
191.2.82.6.m238.1  P6'/m'm'm(a,0,0)0000(-a,a,0)0000  ({  A ,  0 },{0.5*A,  0  },{  0 ,  0 };  {-0.5*A,   0  },{0.5*A,   0 },{  0 ,  0 };  {-0.5*A,   0  },{ -A ,  0 },{  0 ,  0 })  
191.2.82.6.m239.1  P6'/m'mm'(a,0,0)0000(-a,a,0)0000  ({  0 ,  0 },{  A  ,  0  },{  0 ,  0 };  {  -A  ,   0  },{  -A ,   0 },{  0 ,  0 };  {   A  ,   0  },{  0 ,  0 },{  0 ,  0 })  
191.2.82.6.m240.1  P6/mm'm'(a,0,0)0000(-a,a,0)0000   ({  0 ,  0 },{  0  ,  0  },{  A ,  0 };  {   0  ,   0  },{   0 ,   0 },{  A ,  0 };  {   0  ,   0  },{  0 ,  0 },{  A ,  0 })  
191.2.82.6.m241.1  P6/m'm'm'(a,0,0)0000(-a,a,0)0000  ({  0 ,  A },{  0  ,0.5*A},{  0 ,  0 };  {   0  ,-0.5*A},{   0 ,0.5*A},{  0 ,  0 };  {   0  ,-0.5*A},{  0 , -A },{  0 ,  0 })  


# for (alpha, alpha, 0)(-2*alpha, alpha, 0):
# magnetic superspace group                            ({Mxc1,Mxs1},{Myc1,Mys1},{Mzc1,Mzs1};  {Mxc2,Mxs2},{Myc2,Mys2},{Mzc2,Mzs2};  {Mxc3,Mxs3},{Myc3,Mys3},{Mzc3,Mzs3})

149.2.83.7.m21.1   P312.1(a,a,0)000(-2a,a,0)000      ({  A ,  B },{ -A ,  B },{  0 ,  C };  {  A , -B },{2*A ,  0 },{  0 ,  C };  {-2*A,  0 },{ -A , -B },{  0 ,  C })
149.2.83.7.m23.1   P312' (a,a,0)000(-2a,a,0)000      ({  A ,  B },{  A , -B },{  C ,  0 };  { -A ,  B },{  0 ,2*B },{  C ,  0 };  {  0 ,-2*B},{ -A , -B },{  C ,  0 })
150.2.83.5.m25.1   P321.1(a,a,0)000(-2a,a,0)000      ({  A ,  B },{  A ,  B },{  0 ,  0 };  { -A , -B },{  0 ,  0 },{  0 ,  0 };  {  0 ,  0 },{ -A , -B },{  0 ,  0 })  
150.2.83.5.m27.1   P32'1 (a,a,0)000(-2a,a,0)000      ({  A ,  B },{ -A , -B },{  C ,  D };  {  A ,  B },{2*A ,2*B },{  C ,  D };  {-2*A,-2*B},{ -A , -B },{  C ,  D })
156.2.83.5.m49.1   P3m1.1(a,a,0)000(-2a,a,0)000      ({  A ,  B },{  A , -B },{  0 ,  C };  { -A ,  B },{  0 ,2*B },{  0 ,  C };  {  0 ,-2*B},{ -A , -B },{  0 ,  C })
156.2.83.5.m51.1   P3m'1 (a,a,0)000(-2a,a,0)000      ({  A ,  B },{ -A ,  B },{  C ,  0 };  {  A , -B },{2*A ,  0 },{  C ,  0 };  {-2*A,  0 },{ -A , -B },{  C ,  0 })
157.2.83.7.m53.1   P31m.1(a,a,0)000(-2a,a,0)000      ({  A ,  B },{ -A , -B },{  0 ,  0 };  {  A ,  B },{2*A ,2*B },{  0 ,  0 };  {-2*A,-2*B},{ -A , -B },{  0 ,  0 })  
157.2.83.7.m55.1   P31m' (a,a,0)000(-2a,a,0)000      ({  A ,  B },{  A ,  B },{  C ,  D };  { -A , -B },{  0 ,  0 },{  C ,  D };  {  0 ,  0 },{ -A , -B },{  C ,  D })
162.2.83.7.m73.1   P-31m.1(a,a,0)000(-2a,a,0)000     ({  A ,  0 },{ -A ,  0 },{  0 ,  0 };  {  A ,  0 },{2*A ,  0 },{  0 ,  0 };  {-2*A,  0 },{ -A ,  0 },{  0 ,  0 })  
162.2.83.7.m75.1   P-3'1m(a,a,0)000(-2a,a,0)000      ({  0 ,  A },{  0 , -A },{  0 ,  0 };  {  0 ,  A },{  0 ,2*A },{  0 ,  0 };  {  0 ,-2*A},{  0 , -A },{  0 ,  0 })  
162.2.83.7.m76.1   P-3'1m'(a,a,0)000(-2a,a,0)000     ({  0 ,  A },{  0 ,  A },{  0 ,  B };  {  0 , -A },{  0 ,  0 },{  0 ,  B };  {  0 ,  0 },{  0 , -A },{  0 ,  B })
162.2.83.7.m77.1   P-31m'(a,a,0)000(-2a,a,0)000      ({  A ,  0 },{  A ,  0 },{  B ,  0 };  { -A ,  0 },{  0 ,  0 },{  B ,  0 };  {  0 ,  0 },{ -A ,  0 },{  B ,  0 })
177.2.83.6.m149.1  P622.1(a,a,0)000(-2a,a,0)000      ({  0 ,  A },{  0 ,  A },{  0 ,  0 };  {  0 , -A },{  0 ,  0 },{  0 ,  0 };  {  0 ,  0 },{  0 , -A },{  0 ,  0 })  
177.2.83.6.m151.1  P6'2'2(a,a,0)000(-2a,a,0)000      ({  A ,  0 },{ -A ,  0 },{  0 ,  B };  {  A ,  0 },{2*A ,  0 },{  0 ,  B };  {-2*A,  0 },{ -A ,  0 },{  0 ,  B })
177.2.83.6.m152.1  P6'22'(a,a,0)000(-2a,a,0)000      ({  A ,  0 },{  A ,  0 },{  0 ,  0 };  { -A ,  0 },{  0 ,  0 },{  0 ,  0 };  {  0 ,  0 },{ -A ,  0 },{  0 ,  0 })  
177.2.83.6.m153.1  P62'2'(a,a,0)000(-2a,a,0)000      ({  0 ,  A },{  0 , -A },{  B ,  0 };  {  0 ,  A },{  0 ,2*A },{  B ,  0 };  {  0 ,-2*A},{  0 , -A },{  B ,  0 })
183.2.83.7.m185.1  P6mm.1(a,a,0)000(-2a,a,0)000      ({  0 ,  A },{  0 , -A },{  0 ,  0 };  {  0 ,  A },{  0 ,2*A },{  0 ,  0 };  {  0 ,-2*A},{  0 , -A },{  0 ,  0 })  
183.2.83.7.m187.1  P6'm'm(a,a,0)000(-2a,a,0)000      ({  A ,  0 },{ -A ,  0 },{  0 ,  0 };  {  A ,  0 },{2*A ,  0 },{  0 ,  0 };  {-2*A,  0 },{ -A ,  0 },{  0 ,  0 })  
183.2.83.7.m188.1  P6'mm'(a,a,0)000(-2a,a,0)000      ({  A ,  0 },{  A ,  0 },{  0 ,  B };  { -A ,  0 },{  0 ,  0 },{  0 ,  B };  {  0 ,  0 },{ -A ,  0 },{  0 ,  B })
183.2.83.7.m189.1  P6m'm'(a,a,0)000(-2a,a,0)000      ({  0 ,  A },{  0 ,  A },{  B ,  0 };  {  0 , -A },{  0 ,  0 },{  B ,  0 };  {  0 ,  0 },{  0 , -A },{  B ,  0 })
187.2.83.4.m209.1  P-6m2.1(a,a,0)000(-2a,a,0)000     ({  0 ,  0 },{  0 ,  0 },{  0 ,  A };  {  0 ,  0 },{  0 ,  0 },{  0 ,  A };  {  0 ,  0 },{  0 ,  0 },{  0 ,  A })  
187.2.83.4.m211.1  P-6'm'2(a,a,0)000(-2a,a,0)000     ({  A ,  B },{ -A ,  B },{  0 ,  0 };  {  A , -B },{2*A ,  0 },{  0 ,  0 };  {-2*A,  0 },{ -A , -B },{  0 ,  0 })  
187.2.83.4.m212.1  P-6'm2'(a,a,0)000(-2a,a,0)000     ({  A ,  B },{  A , -B },{  0 ,  0 };  { -A ,  B },{  0 ,2*B },{  0 ,  0 };  {  0 ,-2*B},{ -A , -B },{  0 ,  0 })  
187.2.83.4.m213.1  P-6m'2'(a,a,0)000(-2a,a,0)000     ({  0 ,  0 },{  0 ,  0 },{  A ,  0 };  {  0 ,  0 },{  0 ,  0 },{  A ,  0 };  {  0 ,  0 },{  0 ,  0 },{  A ,  0 })  
189.2.83.4.m221.1  P-62m.1(a,a,0)000(-2a,a,0)000     ({  0 ,  0 },{  0 ,  0 },{  0 ,  0 };  {  0 ,  0 },{  0 ,  0 },{  0 ,  0 };  {  0 ,   0},{  0 ,  0 },{  0 ,  0 })  
189.2.83.4.m223.1  P-6'2'm(a,a,0)000(-2a,a,0)000     ({  A ,  B },{ -A , -B },{  0 ,  0 };  {  A ,  B },{2*A ,2*B },{  0 ,  0 };  {-2*A,-2*B},{ -A , -B },{  0 ,  0 })  
189.2.83.4.m224.1  P-6'2m'(a,a,0)000(-2a,a,0)000     ({  A ,  B },{  A ,  B },{  0 ,  0 };  { -A , -B },{  0 ,  0 },{  0 ,  0 };  {  0 ,   0},{ -A , -B },{  0 ,  0 })  
189.2.83.4.m225.1  P-62'm'(a,a,0)000(-2a,a,0)000     ({  0 ,  0 },{  0 ,  0 },{  A ,  B };  {  0 ,  0 },{  0 ,  0 },{  A ,  B };  {  0 ,   0},{  0 ,  0 },{  A ,  B })  
191.2.83.7.m233.1  P6/mmm.1(a,a,0)0000(-2a,a,0)0000  ({  0 ,  0 },{  0 ,  0 },{  0 ,  0 };  {  0 ,  0 },{  0 ,  0 },{  0 ,  0 };  {  0 ,   0},{  0 ,  0 },{  0 ,  0 })  
191.2.83.7.m235.1  P6/m'mm(a,a,0)0000(-2a,a,0)0000   ({  0 ,  A },{  0 , -A },{  0 ,  0 };  {  0 ,  A },{  0 ,2*A },{  0 ,  0 };  {  0 ,-2*A},{  0 , -A },{  0 ,  0 })  
191.2.83.7.m236.1  P6'/mm'm(a,a,0)0000(-2a,a,0)0000  ({  0 ,  0 },{  0 ,  0 },{  0 ,  0 };  {  0 ,  0 },{  0 ,  0 },{  0 ,  0 };  {  0 ,   0},{  0 ,  0 },{  0 ,  0 })  
191.2.83.7.m237.1  P6'/mmm'(a,a,0)0000(-2a,a,0)0000  ({  0 ,  0 },{  0 ,  0 },{  0 ,  A };  {  0 ,  0 },{  0 ,  0 },{  0 ,  A };  {  0 ,   0},{  0 ,  0 },{  0 ,  A })  
191.2.83.7.m238.1  P6'/m'm'm(a,a,0)0000(-2a,a,0)0000 ({  A ,  0 },{ -A ,  0 },{  0 ,  0 };  {  A ,  0 },{2*A ,  0 },{  0 ,  0 };  {-2*A,   0},{ -A ,  0 },{  0 ,  0 })  
191.2.83.7.m239.1  P6'/m'mm'(a,a,0)0000(-2a,a,0)0000 ({  A ,  0 },{  A ,  0 },{  0 ,  0 };  { -A ,  0 },{  0 ,  0 },{  0 ,  0 };  {  0 ,   0},{ -A ,  0 },{  0 ,  0 })  
191.2.83.7.m240.1  P6/mm'm'(a,a,0)0000(-2a,a,0)0000  ({  0 ,  0 },{  0 ,  0 },{  A ,  0 };  {  0 ,  0 },{  0 ,  0 },{  A ,  0 };  {  0 ,   0},{  0 ,  0 },{  A ,  0 })  
191.2.83.7.m241.1  P6/m'm'm'(a,a,0)0000(-2a,a,0)0000 ({  0 ,  A },{  0 ,  A },{  0 ,  0 };  {  0 , -A },{  0 ,  0 },{  0 ,  0 };  {  0 ,   0},{  0 , -A },{  0 ,  0 })   
