# magnetic superspace group                           ({Mxc1,Mxs1},{Myc1,Mys1},{Mzc1,Mzs1};{Mxc2,Mxs2},{Myc2,Mys2},{Mzc2,Mzs2})
99.2.68.18.m163.1 P4mm.1(a,a,0)000(-a,a,0)000       ({  - ,  A },{  - , -A },{  - ,  - };{  - ,  A },{  - ,  A },{  - ,  - })
99.2.68.18.m165.1 P4'm'm(a,a,0)000(-a,a,0)000       ({  - ,  A },{  - , -A },{  - ,  - };{  - , -A },{  - , -A },{  - ,  - })
99.2.68.18.m166.1 P4'mm'(a,a,0)000(-a,a,0)000       ({  - ,  A },{  - ,  A },{  B ,  - };{  - ,  A },{  - , -A },{ -B ,  - })
99.2.68.18.m167.1 P4m'm'(a,a,0)000(-a,a,0)000       ({  - ,  A },{  - ,  A },{  B ,  - };{  - , -A },{  - ,  A },{  B ,  - })
99.2.68.19.m163.1 P4mm.1(a,a,0)00s(-a,a,0)000       ({  - ,  A },{  - ,  A },{  B ,  - };{  - , -A },{  - ,  A },{  B ,  - })
99.2.68.19.m165.1 P4'm'm(a,a,0)00s(-a,a,0)000       ({  - ,  A },{  - ,  A },{  B ,  - };{  - ,  A },{  - , -A },{ -B ,  - })
99.2.68.19.m166.1 P4'mm'(a,a,0)00s(-a,a,0)000       ({  - ,  A },{  - , -A },{  - ,  - };{  - , -A },{  - , -A },{  - ,  - })
99.2.68.19.m167.1 P4m'm'(a,a,0)00s(-a,a,0)000       ({  - ,  A },{  - , -A },{  - ,  - };{  - ,  A },{  - ,  A },{  - ,  - })
111.2.63.6.m251.1 P-42m.1(a,0,0)000(0,a,0)000       ({  - ,  A },{  - ,  - },{  - ,  - };{  - ,  - },{  - , -A },{  - ,  - })
111.2.63.6.m253.1 P-4'2'm(a,0,0)000(0,a,0)000       ({  - ,  - },{  - ,  A },{  B ,  - };{  - , -A },{  - ,  - },{ -B ,  - })
111.2.63.6.m254.1 P-4'2m'(a,0,0)000(0,a,0)000       ({  - ,  A },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  A },{  - ,  - })
111.2.63.6.m255.1 P-42'm'(a,0,0)000(0,a,0)000       ({  - ,  - },{  - ,  A },{  B ,  - };{  - ,  A },{  - ,  - },{  B ,  - })
111.2.63.7.m251.1 P-42m.1(a,0,0)0s0(0,a,0)000       ({  - ,  - },{  - ,  A },{  B ,  - };{  - ,  A },{  - ,  - },{  B ,  - })
111.2.63.7.m253.1 P-4'2'm(a,0,0)0s0(0,a,0)000       ({  - ,  A },{  - ,  - },{  - ,  - };{  - ,  - },{  - ,  A },{  - ,  - })
111.2.63.7.m254.1 P-4'2m'(a,0,0)0s0(0,a,0)000       ({  - ,  - },{  - ,  A },{  B ,  - };{  - , -A },{  - ,  - },{ -B ,  - })
111.2.63.7.m255.1 P-42'm'(a,0,0)0s0(0,a,0)000       ({  - ,  A },{  - ,  - },{  - ,  - };{  - ,  - },{  - , -A },{  - ,  - })
111.2.68.11.m251.1 P-42m.1(a,a,0)000(-a,a,0)000     ({  - ,  A },{  - , -A },{  - ,  - };{  - , -A },{  - , -A },{  - ,  - })
111.2.68.11.m253.1 P-4'2'm(a,a,0)000(-a,a,0)000     ({  - ,  A },{  - , -A },{  - ,  - };{  - ,  A },{  - ,  A },{  - ,  - })
111.2.68.11.m254.1 P-4'2m'(a,a,0)000(-a,a,0)000     ({  - ,  A },{  - ,  A },{  B ,  - };{  - , -A },{  - ,  A },{ -B ,  - })
111.2.68.11.m255.1 P-42'm'(a,a,0)000(-a,a,0)000     ({  - ,  A },{  - ,  A },{  B ,  - };{  - ,  A },{  - , -A },{  B ,  - })
111.2.68.12.m251.1 P-42m.1(a,a,0)00s(-a,a,0)000     ({  - ,  A },{  - ,  A },{  B ,  - };{  - ,  A },{  - , -A },{  B ,  - })
111.2.68.12.m253.1 P-4'2'm(a,a,0)00s(-a,a,0)000     ({  - ,  A },{  - ,  A },{  B ,  - };{  - , -A },{  - ,  A },{ -B ,  - })
111.2.68.12.m254.1 P-4'2m'(a,a,0)00s(-a,a,0)000     ({  - ,  A },{  - , -A },{  - ,  - };{  - ,  A },{  - ,  A },{  - ,  - })
111.2.68.12.m255.1 P-42'm'(a,a,0)00s(-a,a,0)000     ({  - ,  A },{  - , -A },{  - ,  - };{  - , -A },{  - , -A },{  - ,  - })
115.2.63.5.m283.1  P-4m2.1(a,0,0)000(0,a,0)000      ({  - ,  - },{  - ,  A },{  - ,  - };{  - ,  A },{  - ,  - },{  - ,  - })
115.2.63.5.m285.1  P-4'm'2(a,0,0)000(0,a,0)000      ({  - ,  A },{  - ,  - },{  B ,  - };{  - ,  - },{  - ,  A },{ -B ,  - })
115.2.63.5.m286.1  P-4'm2'(a,0,0)000(0,a,0)000      ({  - ,  - },{  - ,  A },{  - ,  - };{  - , -A },{  - ,  - },{  - ,  - })
115.2.63.5.m287.1  P-4m'2'(a,0,0)000(0,a,0)000      ({  - ,  A },{  - ,  - },{  B ,  - };{  - ,  - },{  - , -A },{  B ,  - })
115.2.63.6.m283.1  P-4m2.1(a,0,0)000(0,a,0)0s0      ({  - ,  A },{  - ,  - },{  B ,  - };{  - ,  - },{  - , -A },{  B ,  - })
115.2.63.6.m285.1  P-4'm'2(a,0,0)000(0,a,0)0s0      ({  - ,  - },{  - ,  A },{  - ,  - };{  - , -A },{  - ,  - },{  - ,  - })
115.2.63.6.m286.1  P-4'm2'(a,0,0)000(0,a,0)0s0      ({  - ,  A },{  - ,  - },{  B ,  - };{  - ,  - },{  - ,  A },{ -B ,  - })
115.2.63.6.m287.1  P-4m'2'(a,0,0)000(0,a,0)0s0      ({  - ,  - },{  - ,  A },{  - ,  - };{  - ,  A },{  - ,  - },{  - ,  - })
115.2.68.11.m283.1 P-4m2.1(a,a,0)000(-a,a,0)000     ({  - ,  A },{  - ,  A },{  - ,  - };{  - ,  A },{  - , -A },{  - ,  - })
